demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
heating,loss,walls_ag,code_minimum,kWh,12818.0371724,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,code_minimum,kWh,461.691452717,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,code_minimum,kWh,4852.34622875,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,code_minimum,kWh,9852.7963619,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,code_minimum,kWh,16226.6151953,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,code_minimum,kWh,17749.424901,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,code_minimum,kWh,15121.9882649,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,code_minimum,kWh,58668.2840792,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,code_minimum,kWh,640.069594013,heating_demand.north,North,390
heating,gain,east,code_minimum,kWh,1963.66999121,heating_demand.east,East,391
heating,gain,south,code_minimum,kWh,2951.2993544,heating_demand.south,South,392
heating,gain,west,code_minimum,kWh,2423.3969247,heating_demand.west,West,393
heating,gain,horizontal,code_minimum,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,code_minimum,kWh,4326.17054126,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,code_minimum,kWh,7786.82747654,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,code_minimum,kWh,15299.8797206,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,code_minimum,kWh,2282.41495293,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,code_minimum,kWh,10673.4659082,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,code_minimum,kWh,427.51868803,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,code_minimum,kWh,4040.50568358,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,code_minimum,kWh,9123.52730223,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,code_minimum,kWh,13511.7586073,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,code_minimum,kWh,14779.788748,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,code_minimum,kWh,4280.50914745,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,code_minimum,kWh,1432.57369232,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,code_minimum,kWh,722.255948269,cooling_demand.north,North,414
cooling,gain,east,code_minimum,kWh,1977.67202746,cooling_demand.east,East,415
cooling,gain,south,code_minimum,kWh,1803.24579873,cooling_demand.south,South,416
cooling,gain,west,code_minimum,kWh,2590.29168704,cooling_demand.west,West,417
cooling,gain,horizontal,code_minimum,kWh,0,cooling_demand.horizontal,Horizontal,418
cooling,gain,sum_opaque_areas,code_minimum,kWh,5965.01165887,cooling_demand.sum_opaque_areas,Sum opaque areas,419
cooling,gain,internal_gains,code_minimum,kWh,8812.25331707,cooling_demand.internal_gains,Internal Gains,420
cooling,limit,demand_limit,code_minimum,kWh,9179.92783233,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,as_drawn,kWh,10234.0985198,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,as_drawn,kWh,680.450591991,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,as_drawn,kWh,4032.39809888,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,as_drawn,kWh,10053.1859034,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,as_drawn,kWh,12023.9265834,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,as_drawn,kWh,15417.0931238,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,as_drawn,kWh,6500.08880962,heating_demand.ventilation,Ventilation,388
