metric_group,end_use,variant_id,units,value,source_field_id,source_label,excel_row
site_energy,heating,code_minimum,kWh,34120.8169252,site_energy.heating,Heating,423
site_energy,cooling,code_minimum,kWh,3842.61692146,site_energy.cooling,Cooling,424
site_energy,dhw,code_minimum,kWh,3736.2496217,site_energy.dhw,DHW,425
site_energy,dishwashing,code_minimum,kWh,237.781789106,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,code_minimum,kWh,69.7606393014,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,code_minimum,kWh,335.400265867,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,code_minimum,kWh,445.3,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,code_minimum,kWh,0,site_energy.cooking,Cooking,430
site_energy,phi_lighting,code_minimum,kWh,0,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,code_minimum,kWh,653.058617339,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,code_minimum,kWh,68.6861017561,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,code_minimum,kWh,0,site_energy.phius_int_lighting,Phius Int. Lighting,434
site_energy,phius_ext_lighting,code_minimum,kWh,0,site_energy.phius_ext_lighting,Phius Ext. Lighting,435
site_energy,phius_mel,code_minimum,kWh,0,site_energy.phius_mel,Phius MEL,436
site_energy,aux_elec,code_minimum,kWh,4141.16890004,site_energy.aux_elec,Aux Elec,437
site_energy,solar_pv,code_minimum,kWh,0,site_energy.solar_pv,Solar PV,438
primary_energy,heating,code_minimum,kWh,88714.1240056,primary_energy.heating,Heating,441
phius_net_source_energy,heating,code_minimum,kWh,88714.1240056,primary_energy.heating,Heating,441
primary_energy,cooling,code_minimum,kWh,9990.80399579,primary_energy.cooling,Cooling,442
phius_net_source_energy,cooling,code_minimum,kWh,9990.80399579,primary_energy.cooling,Cooling,442
primary_energy,dhw,code_minimum,kWh,9714.24901642,primary_energy.dhw,DHW,443
phius_net_source_energy,dhw,code_minimum,kWh,9714.24901642,primary_energy.dhw,DHW,443
primary_energy,dishwashing,code_minimum,kWh,618.232651675,primary_energy.dishwashing,Dishwashing,444
phius_net_source_energy,dishwashing,code_minimum,kWh,618.232651675,primary_energy.dishwashing,Dishwashing,444
primary_energy,clothes_washing,code_minimum,kWh,181.377662184,primary_energy.clothes_washing,Clothes Washing,445
phius_net_source_energy,clothes_washing,code_minimum,kWh,181.377662184,primary_energy.clothes_washing,Clothes Washing,445
primary_energy,clothes_drying,code_minimum,kWh,872.040691254,primary_energy.clothes_drying,Clothes Drying,446
phius_net_source_energy,clothes_drying,code_minimum,kWh,872.040691254,primary_energy.clothes_drying,Clothes Drying,446
primary_energy,refrigerator,code_minimum,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
phius_net_source_energy,refrigerator,code_minimum,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
primary_energy,cooking,code_minimum,kWh,0,primary_energy.cooking,Cooking,448
phius_net_source_energy,cooking,code_minimum,kWh,0,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,code_minimum,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,code_minimum,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,code_minimum,kWh,1697.95240508,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,code_minimum,kWh,1697.95240508,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,code_minimum,kWh,178.583864566,primary_energy.phi_small_appliances,PHI Small Appliances,451
phius_net_source_energy,phi_small_appliances,code_minimum,kWh,178.583864566,primary_energy.phi_small_appliances,PHI Small Appliances,451
primary_energy,phius_int_lighting,code_minimum,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
phius_net_source_energy,phius_int_lighting,code_minimum,kWh,0,primary_energy.phius_int_lighting,Phius Int. Lighting,452
primary_energy,phius_ext_lighting,code_minimum,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
phius_net_source_energy,phius_ext_lighting,code_minimum,kWh,0,primary_energy.phius_ext_lighting,Phius Ext. Lighting,453
primary_energy,phius_mel,code_minimum,kWh,0,primary_energy.phius_mel,Phius MEL,454
phius_net_source_energy,phius_mel,code_minimum,kWh,0,primary_energy.phius_mel,Phius MEL,454
primary_energy,aux_elec,code_minimum,kWh,10767.0391401,primary_energy.aux_elec,Aux Elec,455
phius_net_source_energy,aux_elec,code_minimum,kWh,10767.0391401,primary_energy.aux_elec,Aux Elec,455
primary_energy,solar_pv,code_minimum,kWh,0,primary_energy.solar_pv,Solar PV,456
phius_net_source_energy,solar_pv,code_minimum,kWh,0,primary_energy.solar_pv,Solar PV,456
per,heating,code_minimum,kWh,51181.2253879,primary_energy_renewable.heating,Heating,520
per,cooling,code_minimum,kWh,5787.922738,primary_energy_renewable.cooling,Cooling,521
per,dhw,code_minimum,kWh,4296.68706495,primary_energy_renewable.dhw,DHW,522
per,dishwashing,code_minimum,kWh,285.338146927,primary_energy_renewable.dishwashing,Dishwashing,523
per,clothes_washing,code_minimum,kWh,83.7127671616,primary_energy_renewable.clothes_washing,Clothes Washing,524
per,clothes_drying,code_minimum,kWh,402.48031904,primary_energy_renewable.clothes_drying,Clothes Drying,525
per,refrigerator,code_minimum,kWh,534.36,primary_energy_renewable.refrigerator,Refrigerator,526
per,cooking,code_minimum,kWh,0,primary_energy_renewable.cooking,Cooking,527
per,phi_lighting,code_minimum,kWh,0,primary_energy_renewable.phi_lighting,PHI Lighting,528
per,phi_consumer_elec,code_minimum,kWh,783.670340807,primary_energy_renewable.phi_consumer_elec,PHI Consumer Elec.,529
per,phi_small_appliances,code_minimum,kWh,82.4233221074,primary_energy_renewable.phi_small_appliances,PHI Small Appliances,530
per,phius_int_lighting,code_minimum,kWh,0,primary_energy_renewable.phius_int_lighting,Phius Int. Lighting,531
per,phius_ext_lighting,code_minimum,kWh,0,primary_energy_renewable.phius_ext_lighting,Phius Ext. Lighting,532
per,phius_mel,code_minimum,kWh,0,primary_energy_renewable.phius_mel,Phius MEL,533
per,aux_elec,code_minimum,kWh,4969.40268005,primary_energy_renewable.aux_elec,Aux Elec,534
per,solar_pv,code_minimum,kWh,0,primary_energy_renewable.solar_pv,Solar PV,535
co2e,heating,code_minimum,tonsCO2e,8.39372096361,co2e.heating,Heating,502
co2e,cooling,code_minimum,tonsCO2e,0.945283762679,co2e.cooling,Cooling,503
co2e,dhw,code_minimum,tonsCO2e,0.919117406938,co2e.dhw,DHW,504
co2e,dishwashing,code_minimum,tonsCO2e,0.05849432012,co2e.dishwashing,Dishwashing,505
co2e,clothes_washing,code_minimum,tonsCO2e,0.0171611172681,co2e.clothes_washing,Clothes Washing,506
co2e,clothes_drying,code_minimum,tonsCO2e,0.0825084654033,co2e.clothes_drying,Clothes Drying,507
co2e,refrigerator,code_minimum,tonsCO2e,0.1095438,co2e.refrigerator,Refrigerator,508
co2e,cooking,code_minimum,tonsCO2e,0,co2e.cooking,Cooking,509
co2e,phi_lighting,code_minimum,tonsCO2e,0,co2e.phi_lighting,PHI Lighting,510
co2e,phi_consumer_elec,code_minimum,tonsCO2e,0.160652419865,co2e.phi_consumer_elec,PHI Consumer Elec.,511
co2e,phi_small_appliances,code_minimum,tonsCO2e,0.016896781032,co2e.phi_small_appliances,PHI Small Appliances,512
co2e,phius_int_lighting,code_minimum,tonsCO2e,0,co2e.phius_int_lighting,Phius Int. Lighting,513
co2e,phius_ext_lighting,code_minimum,tonsCO2e,0,co2e.phius_ext_lighting,Phius Ext. Lighting,514
co2e,phius_mel,code_minimum,tonsCO2e,0,co2e.phius_mel,Phius MEL,515
co2e,aux_elec,code_minimum,tonsCO2e,1.01872754941,co2e.aux_elec,Aux Elec,516
co2e,ipcc_limit,code_minimum,tonsCO2e,3.51199518882,co2e.ipcc_limit,IPCC Limit,517
phius_net_source_energy,total,code_minimum,kWh,123892.183433,primary_energy.*,Primary Energy total,
phius_net_source_energy,limit,code_minimum,kWh,12028.5835217,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
site_energy,heating,as_drawn,kWh,23889.8185037,site_energy.heating,Heating,423
site_energy,cooling,as_drawn,kWh,2436.34153976,site_energy.cooling,Cooling,424
site_energy,dhw,as_drawn,kWh,3753.98248778,site_energy.dhw,DHW,425
site_energy,dishwashing,as_drawn,kWh,237.781789106,site_energy.dishwashing,Dishwashing,426
site_energy,clothes_washing,as_drawn,kWh,69.7606393014,site_energy.clothes_washing,Clothes Washing,427
site_energy,clothes_drying,as_drawn,kWh,335.400265867,site_energy.clothes_drying,Clothes Drying,428
site_energy,refrigerator,as_drawn,kWh,445.3,site_energy.refrigerator,Refrigerator,429
site_energy,cooking,as_drawn,kWh,0,site_energy.cooking,Cooking,430
site_energy,phi_lighting,as_drawn,kWh,0,site_energy.phi_lighting,PHI Lighting,431
site_energy,phi_consumer_elec,as_drawn,kWh,653.058617339,site_energy.phi_consumer_elec,PHI Consumer Elec.,432
site_energy,phi_small_appliances,as_drawn,kWh,68.6861017561,site_energy.phi_small_appliances,PHI Small Appliances,433
site_energy,phius_int_lighting,as_drawn,kWh,0,site_energy.phius_int_lighting,Phius Int. Lighting,434
site_energy,phius_ext_lighting,as_drawn,kWh,0,site_energy.phius_ext_lighting,Phius Ext. Lighting,435
site_energy,phius_mel,as_drawn,kWh,0,site_energy.phius_mel,Phius MEL,436
site_energy,aux_elec,as_drawn,kWh,1878.08609981,site_energy.aux_elec,Aux Elec,437
site_energy,solar_pv,as_drawn,kWh,0,site_energy.solar_pv,Solar PV,438
primary_energy,heating,as_drawn,kWh,62113.5281097,primary_energy.heating,Heating,441
phius_net_source_energy,heating,as_drawn,kWh,62113.5281097,primary_energy.heating,Heating,441
primary_energy,cooling,as_drawn,kWh,6334.48800338,primary_energy.cooling,Cooling,442
phius_net_source_energy,cooling,as_drawn,kWh,6334.48800338,primary_energy.cooling,Cooling,442
primary_energy,dhw,as_drawn,kWh,9760.35446822,primary_energy.dhw,DHW,443
phius_net_source_energy,dhw,as_drawn,kWh,9760.35446822,primary_energy.dhw,DHW,443
primary_energy,dishwashing,as_drawn,kWh,618.232651675,primary_energy.dishwashing,Dishwashing,444
phius_net_source_energy,dishwashing,as_drawn,kWh,618.232651675,primary_energy.dishwashing,Dishwashing,444
primary_energy,clothes_washing,as_drawn,kWh,181.377662184,primary_energy.clothes_washing,Clothes Washing,445
phius_net_source_energy,clothes_washing,as_drawn,kWh,181.377662184,primary_energy.clothes_washing,Clothes Washing,445
primary_energy,clothes_drying,as_drawn,kWh,872.040691254,primary_energy.clothes_drying,Clothes Drying,446
phius_net_source_energy,clothes_drying,as_drawn,kWh,872.040691254,primary_energy.clothes_drying,Clothes Drying,446
primary_energy,refrigerator,as_drawn,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
phius_net_source_energy,refrigerator,as_drawn,kWh,1157.78,primary_energy.refrigerator,Refrigerator,447
primary_energy,cooking,as_drawn,kWh,0,primary_energy.cooking,Cooking,448
phius_net_source_energy,cooking,as_drawn,kWh,0,primary_energy.cooking,Cooking,448
primary_energy,phi_lighting,as_drawn,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
phius_net_source_energy,phi_lighting,as_drawn,kWh,0,primary_energy.phi_lighting,PHI Lighting,449
primary_energy,phi_consumer_elec,as_drawn,kWh,1697.95240508,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
phius_net_source_energy,phi_consumer_elec,as_drawn,kWh,1697.95240508,primary_energy.phi_consumer_elec,PHI Consumer Elec.,450
primary_energy,phi_small_appliances,as_drawn,kWh,178.583864566,primary_energy.phi_small_appliances,PHI Small Appliances,451
