row_type,room_name,amount,allocation_to_vent_unit,room_area_ft2,room_volume_ft3,room_height_ft,v_sup_high_cfm,v_eta_high_cfm,v_sup_med_cfm,v_eta_med_cfm,v_sup_low_cfm,v_eta_low_cfm,excel_row
room,001-CELLAR,1,1,683.395783134,5603.84844583,8.20000442797,0,0,0,0,0,0,31
room,002-CELLAR,1,1,108.76472232,891.871204325,8.20000442797,0,0,0,0,0,0,32
room,003-CELLAR,1,1,396.354936441,3250.11223274,8.20000442797,0,0,0,0,0,0,33
room,100.ELEV-ELEVATOR,1,1,23.9618055629,196.48691165,8.20000442797,0,0,0,0,0,0,34
room,100.ST-STAIR,1,1,35.9709646429,294.962069249,8.20000442797,0,0,0,0,0,0,35
room,101-FOYER,1,1,211.60253154,1735.141695,8.20000442797,0,0,0,0,0,0,36
room,102-LIVING ROOM,1,1,431.512149991,3538.40153943,8.20000442797,25,0,19.25,0,0,0,37
room,103-DEN,1,1,272.443041732,2234.03414781,8.20000442797,25,0,19.25,0,0,0,38
room,104-DINING ROOM,1,1,231.009554174,1894.27936648,8.20000442797,25,0,19.25,0,0,0,39
room,105-KITCHEN,1,1,241.304862076,1978.70093683,8.20000442797,0,50,0,38.5,0,0,40
room,106-PANTRY,1,1,37.4779197476,307.319107776,8.20000442797,0,0,0,0,0,0,41
room,107-POWDER ROOM,1,1,30.0000000092,246.00013283,8.20000442797,0,0,0,0,0,0,42
room,108-BREAKFAST ROOM,1,1,131.186779845,1075.73217525,8.20000442797,0,0,0,0,0,0,43
room,109-FAMILY ROOM,1,1,424.958075221,3484.65809732,8.20000442797,25,0,19.25,0,0,0,44
room,110-PANTRY / OFFIC,1,1,135.575820316,1111.72232653,8.20000442797,25,0,19.25,0,0,0,45
room,111-POWDER ROOM,1,1,26.9389377474,220.899408738,8.20000442797,0,25,0,19.25,0,0,46
room,113-CLOSET,1,1,85.9323626161,704.645753715,8.20000442797,25,0,19.25,0,0,0,47
room,115-ELEV. HALL,1,1,102.509927821,840.581861753,8.20000442797,0,0,0,0,0,0,48
room,118-SUNROOM,1,1,306.087141971,2509.91591864,8.20000442797,0,0,0,0,0,0,49
room,200-STAIR LANDING,1,1,25.5472704587,209.487730812,8.20000442797,0,0,0,0,0,0,50
room,200.ELEV-ELEVATOR,1,1,23.9618055629,196.48691165,8.20000442797,0,0,0,0,0,0,51
room,200.ST_A-STAIR,1,1,30.9817212598,254.050251429,8.20000442797,0,0,0,0,0,0,52
room,200.ST_B-STAIR,1,1,21.2268871991,174.060568965,8.20000442797,0,0,0,0,0,0,53
room,201-STAIR HALL #1,1,1,106.955584778,877.036268474,8.20000442797,0,0,0,0,0,0,54
room,202-PRIMARY BEDROOM,1,1,423.686584292,3474.23186607,8.20000442797,25,0,19.25,0,0,0,55
room,203-PETER'S CLOSET,1,1,144.074354437,1181.41034393,8.20000442797,0,0,0,0,0,0,56
room,204-AUDREY'S CLOSET,1,1,142.25502858,1166.49186385,8.20000442797,0,0,0,0,0,0,57
room,205-CLOSET,1,1,48.193148396,395.184030109,8.20000442797,0,0,0,0,0,0,58
room,206-PRIMARY BATH,1,1,108.809462477,892.238073808,8.20000442797,0,50,0,38.5,0,0,59
room,207-FRED'S BEDROOM,1,1,175.474119341,1438.88855509,8.20000442797,25,0,19.25,0,0,0,60
room,208-FRED'S BATH,1,1,52.1591089548,427.704924241,8.20000442797,0,25,0,19.25,0,0,61
room,209-GUEST BEDROOM #1,1,1,204.431473584,1676.33898802,8.20000442797,25,0,19.25,0,0,0,62
room,210-GUEST BATH,1,1,50.6103807851,415.005346396,8.20000442797,0,25,0,19.25,0,0,63
room,211-LILY'S BEDROOM,1,1,231.648951522,1899.52242757,8.20000442797,25,0,19.25,0,0,0,64
room,212-LILY'S BATH,1,1,56.2079661488,460.905571149,8.20000442797,0,25,0,19.25,0,0,65
room,213-STAIR HALL#2,1,1,127.812094039,1048.0597367,8.20000442797,0,0,0,0,0,0,66
room,214-LAUNDRY,1,1,78.4759210782,643.502900109,8.20000442797,0,25,0,19.25,0,0,67
room,215-STAIR HALL #2,1,1,68.0140934482,557.715867248,8.20000442797,0,0,0,0,0,0,68
room,216-GYM,1,1,298.747735463,2449.7327528,8.20000442797,0,25,0,19.25,0,0,69
room,217-GUES BEDROOM #2,1,1,208.363845428,1708.58445455,8.20000442797,25,0,19.25,0,0,0,70
room,218-GUES BATH,1,1,54.6893486259,448.452900741,8.20000442797,0,25,0,19.25,0,0,71
room,300.ST-STAIR,1,1,26.6436211568,218.477811388,8.20000442797,0,0,0,0,0,0,72
room,301-OFFICE,1,1,595.616109737,4884.05473554,8.20000442797,25,0,19.25,0,0,0,73
room,302-BATH,1,1,75.1845832017,616.513914957,8.20000442797,0,25,0,19.25,0,0,74
room,303-MECH,1,1,47.7073994197,391.200886354,8.20000442797,0,0,0,0,0,0,75
room,Kitchen Extract Hood - ON,1,2,269.0977605,2207.16667,8.2020997375,623.89244574,623.89244574,0,0,0,0,77
room,Kitchen Extract Hood - OFF,0,3,269.0977605,0,8.2020997375,0,0,0,0,0,0,78
total,Totals,,1,7344.46591628,60224.6530139,,300,300,231,231,0,0,
total,Totals,,2,269.0977605,2207.16667,,623.89244574,623.89244574,0,0,0,0,
total,Totals,,3,0,0,,0,0,0,0,0,0,
