section,field_id,phpp_label,variant_id,variant_name,datatype,units,value,excel_row
geometry,geometry.tfa,TFA,code_minimum,Code Minimum,TFA,m2,611.995188822,316
geometry,geometry.tfa,TFA,as_drawn,As-Drawn,TFA,m2,611.995188822,316
geometry,geometry.tfa,TFA,enerphit_by_component,EnerPHit By Component,TFA,m2,611.995188822,316
geometry,geometry.tfa,TFA,phi_low_energy_building,PHI Low Energy Building,TFA,m2,611.995188822,316
geometry,geometry.tfa,TFA,enerphit_by_demand,EnerPHit By Demand,TFA,m2,611.995188822,316
geometry,geometry.vv,VV,code_minimum,Code Minimum,VV,m3,1529.98797206,317
geometry,geometry.vv,VV,as_drawn,As-Drawn,VV,m3,1529.98797206,317
geometry,geometry.vv,VV,enerphit_by_component,EnerPHit By Component,VV,m3,1529.98797206,317
geometry,geometry.vv,VV,phi_low_energy_building,PHI Low Energy Building,VV,m3,1529.98797206,317
geometry,geometry.vv,VV,enerphit_by_demand,EnerPHit By Demand,VV,m3,1529.98797206,317
geometry,geometry.vn50,Vn50,code_minimum,Code Minimum,Vn50,m3,1705.37226052,318
geometry,geometry.vn50,Vn50,as_drawn,As-Drawn,Vn50,m3,1705.37226052,318
geometry,geometry.vn50,Vn50,enerphit_by_component,EnerPHit By Component,Vn50,m3,1705.37226052,318
geometry,geometry.vn50,Vn50,phi_low_energy_building,PHI Low Energy Building,Vn50,m3,1705.37226052,318
geometry,geometry.vn50,Vn50,enerphit_by_demand,EnerPHit By Demand,Vn50,m3,1705.37226052,318
geometry,geometry.building_envelope_area,Building Envelope Area,code_minimum,Code Minimum,Building Envelope Area,m2,1703.36967347,319
geometry,geometry.building_envelope_area,Building Envelope Area,as_drawn,As-Drawn,Building Envelope Area,m2,1703.36967347,319
geometry,geometry.building_envelope_area,Building Envelope Area,enerphit_by_component,EnerPHit By Component,Building Envelope Area,m2,1703.36967347,319
geometry,geometry.building_envelope_area,Building Envelope Area,phi_low_energy_building,PHI Low Energy Building,Building Envelope Area,m2,1703.36967347,319
geometry,geometry.building_envelope_area,Building Envelope Area,enerphit_by_demand,EnerPHit By Demand,Building Envelope Area,m2,1703.36967347,319
geometry,geometry.gross_volume,Gross Volume,code_minimum,Code Minimum,Gross Volume,m3,2216.98393868,320
geometry,geometry.gross_volume,Gross Volume,as_drawn,As-Drawn,Gross Volume,m3,2216.98393868,320
geometry,geometry.gross_volume,Gross Volume,enerphit_by_component,EnerPHit By Component,Gross Volume,m3,2216.98393868,320
geometry,geometry.gross_volume,Gross Volume,phi_low_energy_building,PHI Low Energy Building,Gross Volume,m3,2216.98393868,320
geometry,geometry.gross_volume,Gross Volume,enerphit_by_demand,EnerPHit By Demand,Gross Volume,m3,2216.98393868,320
geometry,geometry.window_area_north,Window Area (North),code_minimum,Code Minimum,Window Area (North),m2,25.851690378,321
geometry,geometry.window_area_north,Window Area (North),as_drawn,As-Drawn,Window Area (North),m2,25.851690378,321
geometry,geometry.window_area_north,Window Area (North),enerphit_by_component,EnerPHit By Component,Window Area (North),m2,25.851690378,321
geometry,geometry.window_area_north,Window Area (North),phi_low_energy_building,PHI Low Energy Building,Window Area (North),m2,25.851690378,321
geometry,geometry.window_area_north,Window Area (North),enerphit_by_demand,EnerPHit By Demand,Window Area (North),m2,25.851690378,321
geometry,geometry.window_area_east,Window Area (East),code_minimum,Code Minimum,Window Area (East),m2,36.5532831985,322
geometry,geometry.window_area_east,Window Area (East),as_drawn,As-Drawn,Window Area (East),m2,36.5532831985,322
geometry,geometry.window_area_east,Window Area (East),enerphit_by_component,EnerPHit By Component,Window Area (East),m2,36.5532831985,322
geometry,geometry.window_area_east,Window Area (East),phi_low_energy_building,PHI Low Energy Building,Window Area (East),m2,36.5532831985,322
geometry,geometry.window_area_east,Window Area (East),enerphit_by_demand,EnerPHit By Demand,Window Area (East),m2,36.5532831985,322
geometry,geometry.window_area_south,Window Area (South),code_minimum,Code Minimum,Window Area (South),m2,23.6780527452,323
geometry,geometry.window_area_south,Window Area (South),as_drawn,As-Drawn,Window Area (South),m2,23.6780527452,323
geometry,geometry.window_area_south,Window Area (South),enerphit_by_component,EnerPHit By Component,Window Area (South),m2,23.6780527452,323
geometry,geometry.window_area_south,Window Area (South),phi_low_energy_building,PHI Low Energy Building,Window Area (South),m2,23.6780527452,323
geometry,geometry.window_area_south,Window Area (South),enerphit_by_demand,EnerPHit By Demand,Window Area (South),m2,23.6780527452,323
geometry,geometry.window_area_west,Window Area (West),code_minimum,Code Minimum,Window Area (West),m2,39.809330535,324
geometry,geometry.window_area_west,Window Area (West),as_drawn,As-Drawn,Window Area (West),m2,39.809330535,324
geometry,geometry.window_area_west,Window Area (West),enerphit_by_component,EnerPHit By Component,Window Area (West),m2,39.809330535,324
geometry,geometry.window_area_west,Window Area (West),phi_low_energy_building,PHI Low Energy Building,Window Area (West),m2,39.809330535,324
geometry,geometry.window_area_west,Window Area (West),enerphit_by_demand,EnerPHit By Demand,Window Area (West),m2,39.809330535,324
